"LATITUDE","LONGITUDE","YEAR","TIME","EFFORT_HRS","EFFORT_DISTANCE_KM","Elevation","Water","Evergreen_needle","Evergreen_broad","Deciduous_needle","Deciduous_broad","Mixed_forest","Closed_shrubland","Open_shrubland","Woody_savannas","Savannas","Grasslands","Croplands","Urban_Built","Barren","y"
35.272655,-76.612885,2004,7.5,1.25,0,9,2.7778,44.4444,0,0,0,52.7778,0,0,0,0,0,0,0,0,0
35.2904686,-75.5131531,2004,10,1.5,1.609,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.66591,-75.4799,2004,15,1.5,0,11,77.5862,1.7241,0,0,0,1.7241,0,0,0,0,0,1.7241,0,17.2414,0
35.864075,-75.86201,2004,9,1.5,0,13,0,0,0,0,0,63.8889,0,0,30.5556,0,0,5.5556,0,0,0
35.9544,-78.9434,2004,7.5,0.083,0,112,0,0,0,0,0,11.1111,0,0,25,0,0,2.7778,61.1111,0,0
37.0221361,-79.4673747,2004,6.5,2,0.402,220,0,2.7778,0,0,8.3333,86.1111,0,0,2.7778,0,0,0,0,0,0
38.8840894,-77.0394408,2004,11.5,0.75,4.023,22,5.4054,8.1081,0,0,8.1081,5.4054,0,0,8.1081,0,0,2.7027,56.7568,5.4054,0
38.9613889,-74.9608333,2004,14,0.5,0.322,7,77.7778,1.8519,0,0,1.8519,5.5556,0,0,3.7037,1.8519,5.5556,1.8519,0,0,0
39.0803767,-77.4035096,2004,7,1.25,0.5,63,0,0,0,0,52.7778,8.3333,0,0,0,2.7778,0,36.1111,0,0,0
39.026096,-76.79543,2004,19.5,1,1.609,32,0,0,0,0,8.3333,77.7778,0,0,2.7778,0,2.7778,8.3333,0,0,0
39.1039325,-76.7151026,2004,10.75,0.75,0,41,0,0,0,0,2.7778,0,0,0,0,5.5556,0,36.1111,55.5556,0,0
39.167,-75.425,2004,16,1,0,7,23.2558,6.9767,0,4.6512,2.3256,4.6512,0,0,16.2791,6.9767,2.3256,30.2326,0,2.3256,0
39.06269,-74.8193,2004,9,1,0.805,0,15.7895,23.6842,0,0,13.1579,13.1579,0,0,0,0,0,21.0526,13.1579,0,0
39.45028,-77.44085,2004,7.5,1.5,0,124,0,0,0,0,2.7778,0,0,0,0,0,0,94.4444,2.7778,0,0
39.7365913,-76.0396423,2004,9.5,2.75,3.219,131,0,0,0,0,8.3333,25,0,0,2.7778,0,0,63.8889,0,0,0
39.9365317,-75.4269895,2004,6.6,0.183,0,81,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
40.1073303,-79.3250478,2004,15,1.5,3.219,476,0,0,0,0,75,0,0,0,0,0,2.7778,22.2222,0,0,0
40.1183833,-79.1764833,2004,9.25,3,4.023,839,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
40.0242194,-75.4131936,2004,6.15,0.183,0,105,0,0,0,0,44.4444,2.7778,0,0,0,2.7778,0,8.3333,41.6667,0,0
